Name                                                 Type                                                   Location
---------------------------------------------------  -----------------------------------------------------  -----------
vnet-az104-denmarkeasteu                             Microsoft.Network/virtualNetworks                      denmarkeast
nsg-web-denmarkeasteu                                Microsoft.Network/networkSecurityGroups                denmarkeast
vm-web-01_key                                        Microsoft.Compute/sshPublicKeys                        denmarkeast
pip-vm-web-01                                        Microsoft.Network/publicIPAddresses                    denmarkeast
vm-web-01745                                         Microsoft.Network/networkInterfaces                    denmarkeast
vm-web-01                                            Microsoft.Compute/virtualMachines                      denmarkeast
vm-web-01_OsDisk_1_bd9fc356128b4cb7bd651b760567d591  Microsoft.Compute/disks                                denmarkeast
pip-vm-web-02                                        Microsoft.Network/publicIPAddresses                    denmarkeast
vm-web-02263                                         Microsoft.Network/networkInterfaces                    denmarkeast
vm-web-02                                            Microsoft.Compute/virtualMachines                      denmarkeast
vm-web-02_OsDisk_1_e68a9b0141fa4e0399c51b2e560d37fa  Microsoft.Compute/disks                                denmarkeast
pip-lb-web-denmarkeasteu                             Microsoft.Network/publicIPAddresses                    denmarkeast
lb-web-denmarkeasteu                                 Microsoft.Network/loadBalancers                        denmarkeast
staz104web123                                        Microsoft.Storage/storageAccounts                      denmarkeast
pep-staz104web123-blob                               Microsoft.Network/privateEndpoints                     denmarkeast
pep-staz104web123-blob-nic                           Microsoft.Network/networkInterfaces                    denmarkeast
privatelink.blob.core.windows.net                    Microsoft.Network/privateDnsZones                      global
privatelink.blob.core.windows.net/6jbzxv2ypo3v6      Microsoft.Network/privateDnsZones/virtualNetworkLinks  global
ag-az104-ops                                         microsoft.insights/actiongroups                        global
alert-vm-web-01-high-cpu                             microsoft.insights/metricalerts                        global
rsv-az104-denmark-east                               Microsoft.RecoveryServices/vaults                      denmarkeast
